shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
ESP1_shp_azul_rb-sp,38.75221,-9.22414,1,0.00000
ESP1_shp_azul_rb-sp,38.758373,-9.219171,2,937.00000
ESP1_shp_azul_rb-sp,38.760616,-9.204708,3,2168.00000
ESP1_shp_azul_rb-sp,38.762398,-9.196931,4,2887.00000
ESP1_shp_azul_rb-sp,38.759308,-9.192812,5,3671.00000
ESP1_shp_azul_rb-sp,38.753323,-9.188663,6,4531.00000
ESP1_shp_azul_rb-sp,38.74958,-9.179946,7,5430.00000
ESP1_shp_azul_rb-sp,38.748528,-9.172431,8,6167.00000
ESP1_shp_azul_rb-sp,38.742176,-9.168724,9,7056.00000
ESP1_shp_azul_rb-sp,38.73767,-9.158451,10,7957.00000
ESP1_shp_azul_rb-sp,38.73484,-9.154225,11,8643.00000
ESP1_shp_azul_rb-sp,38.729725,-9.150276,12,9269.00000
ESP1_shp_azul_rb-sp,38.72488,-9.150807,13,9821.00000
ESP1_shp_azul_rb-sp,38.720116,-9.145823,14,10462.00000
ESP1_shp_azul_rb-sp,38.715084,-9.141623,15,10890.00000
ESP1_shp_azul_rb-sp,38.71067,-9.139091,16,11555.00000
ESP1_shp_azul_rb-sp,38.707207,-9.133351,17,12401.00000
ESP1_shp_azul_rb-sp,38.713876,-9.122451,18,13716.00000
ESP1_shp_azul_sp-rb,38.713783,-9.122563,1,0.00000
ESP1_shp_azul_sp-rb,38.707207,-9.133351,2,1315.00000
ESP1_shp_azul_sp-rb,38.71067,-9.139091,3,2161.00000
ESP1_shp_azul_sp-rb,38.715084,-9.141623,4,2826.00000
ESP1_shp_azul_sp-rb,38.720116,-9.145823,5,3254.00000
ESP1_shp_azul_sp-rb,38.72488,-9.150807,6,3895.00000
ESP1_shp_azul_sp-rb,38.729725,-9.150276,7,4447.00000
ESP1_shp_azul_sp-rb,38.73484,-9.154225,8,5073.00000
ESP1_shp_azul_sp-rb,38.73767,-9.158451,9,5759.00000
ESP1_shp_azul_sp-rb,38.742176,-9.168724,10,6660.00000
ESP1_shp_azul_sp-rb,38.748528,-9.172431,11,7549.00000
ESP1_shp_azul_sp-rb,38.74958,-9.179946,12,8286.00000
ESP1_shp_azul_sp-rb,38.753323,-9.188663,13,9185.00000
ESP1_shp_azul_sp-rb,38.759308,-9.192812,14,10045.00000
ESP1_shp_azul_sp-rb,38.762398,-9.196931,15,10829.00000
ESP1_shp_azul_sp-rb,38.760616,-9.204708,16,11548.00000
ESP1_shp_azul_sp-rb,38.758373,-9.219171,17,12779.00000
ESP1_shp_azul_sp-rb,38.75221,-9.22414,18,13716.00000
ESP1_shp_verde_cs-te,38.706154,-9.145029,1,0.00000
ESP1_shp_verde_cs-te,38.71067,-9.139091,2,909.00000
ESP1_shp_verde_cs-te,38.71384,-9.138957,3,1420.00000
ESP1_shp_verde_cs-te,38.716812,-9.135749,4,1929.00000
ESP1_shp_verde_cs-te,38.722248,-9.135309,5,2557.00000
ESP1_shp_verde_cs-te,38.726616,-9.135025,6,2977.00000
ESP1_shp_verde_cs-te,38.733475,-9.134451,7,3625.00000
ESP1_shp_verde_cs-te,38.737255,-9.134086,8,4100.00000
ESP1_shp_verde_cs-te,38.7426,-9.133807,9,4676.00000
ESP1_shp_verde_cs-te,38.74845,-9.141349,10,5750.00000
ESP1_shp_verde_cs-te,38.753456,-9.143883,11,6375.00000
ESP1_shp_verde_cs-te,38.75988,-9.157941,12,8145.00000
ESP1_shp_verde_cs-te,38.760365,-9.166056,13,8927.00000
ESP1_shp_verde_te-cs,38.760365,-9.166056,1,0.00000
ESP1_shp_verde_te-cs,38.75988,-9.157941,2,782.00000
ESP1_shp_verde_te-cs,38.753456,-9.143883,3,2552.00000
ESP1_shp_verde_te-cs,38.74845,-9.141349,4,3177.00000
ESP1_shp_verde_te-cs,38.7426,-9.133807,5,4251.00000
ESP1_shp_verde_te-cs,38.737255,-9.134086,6,4827.00000
ESP1_shp_verde_te-cs,38.733475,-9.134451,7,5302.00000
ESP1_shp_verde_te-cs,38.726616,-9.135025,8,5950.00000
ESP1_shp_verde_te-cs,38.722248,-9.135309,9,6370.00000
ESP1_shp_verde_te-cs,38.716812,-9.135749,10,6998.00000
ESP1_shp_verde_te-cs,38.71384,-9.138957,11,7507.00000
ESP1_shp_verde_te-cs,38.71067,-9.139091,12,8018.00000
ESP1_shp_verde_te-cs,38.706154,-9.145029,13,8927.00000
