route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
C,ESP1_1,ESP1_C_1_21.C1,Cais Do Sodré,1,ESP1_shp_verde_te-cs
C,ESP1_1,ESP1_C_1_21.C2,Telheiras,0,ESP1_shp_verde_cs-te
C,ESP1_1,ESP1_C_1_21.C3,Cais Do Sodré,1,ESP1_shp_verde_te-cs
C,ESP1_1,ESP1_C_1_21.C4,Telheiras,0,ESP1_shp_verde_cs-te
C,ESP1_1,ESP1_C_1_21.C5,Cais Do Sodré,1,ESP1_shp_verde_te-cs
C,ESP1_1,ESP1_C_1_21.C6,Telheiras,0,ESP1_shp_verde_cs-te
C,ESP1_1,ESP1_C_1_21.C7,Cais Do Sodré,1,ESP1_shp_verde_te-cs
C,ESP1_1,ESP1_C_1_21.C8,Telheiras,0,ESP1_shp_verde_cs-te
C,ESP1_1,ESP1_C_1_21.C9,Cais Do Sodré,1,ESP1_shp_verde_te-cs
C,ESP1_1,ESP1_C_1_21.C10,Telheiras,0,ESP1_shp_verde_cs-te
C,ESP1_1,ESP1_C_1_21.C11,Cais Do Sodré,1,ESP1_shp_verde_te-cs
C,ESP1_1,ESP1_C_1_21.C12,Telheiras,0,ESP1_shp_verde_cs-te
C,ESP1_1,ESP1_C_1_21.C13,Cais Do Sodré,1,ESP1_shp_verde_te-cs
C,ESP1_1,ESP1_C_1_21.C14,Telheiras,0,ESP1_shp_verde_cs-te
D,ESP1_1,ESP1_D_1_21.D1,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_21.D2,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_21.D3,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_21.D4,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_21.D5,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_21.D6,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_21.D7,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_21.D8,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_21.D9,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_21.D10,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_21.D11,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_21.D12,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_21.D13,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_21.D14,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_21.D15,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_21.D16,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_21.D17,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_21.D18,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_21.D19,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_21.D20,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_21.D21,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_21.D22,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_21.D23,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_21.D24,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_21.D25,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_21.D26,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_21.D27,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_21.D28,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_21.D29,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_21.D01,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_21.D02,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_21.D03,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_21.D04,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_21.D05,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_21.D06,Aeroporto,1,ESP1_shp_vermelha_ss-ap
C,ESP1_1,ESP1_C_1_22.C1,Cais Do Sodré,1,ESP1_shp_verde_te-cs
C,ESP1_1,ESP1_C_1_22.C2,Telheiras,0,ESP1_shp_verde_cs-te
C,ESP1_1,ESP1_C_1_22.C3,Cais Do Sodré,1,ESP1_shp_verde_te-cs
C,ESP1_1,ESP1_C_1_22.C4,Telheiras,0,ESP1_shp_verde_cs-te
C,ESP1_1,ESP1_C_1_22.C5,Cais Do Sodré,1,ESP1_shp_verde_te-cs
C,ESP1_1,ESP1_C_1_22.C6,Telheiras,0,ESP1_shp_verde_cs-te
C,ESP1_1,ESP1_C_1_22.C7,Cais Do Sodré,1,ESP1_shp_verde_te-cs
C,ESP1_1,ESP1_C_1_22.C8,Telheiras,0,ESP1_shp_verde_cs-te
C,ESP1_1,ESP1_C_1_22.C9,Cais Do Sodré,1,ESP1_shp_verde_te-cs
C,ESP1_1,ESP1_C_1_22.C10,Telheiras,0,ESP1_shp_verde_cs-te
C,ESP1_1,ESP1_C_1_22.C11,Cais Do Sodré,1,ESP1_shp_verde_te-cs
C,ESP1_1,ESP1_C_1_22.C12,Telheiras,0,ESP1_shp_verde_cs-te
C,ESP1_1,ESP1_C_1_22.C13,Cais Do Sodré,1,ESP1_shp_verde_te-cs
C,ESP1_1,ESP1_C_1_22.C14,Telheiras,0,ESP1_shp_verde_cs-te
D,ESP1_1,ESP1_D_1_22.D1,Aeroporto,1,ESP1_shp_vermelha_ss-ap
D,ESP1_1,ESP1_D_1_22.D2,São Sebastião,0,ESP1_shp_vermelha_ap-ss
D,ESP1_1,ESP1_D_1_22.D3,Aeroporto,1,ESP1_shp_vermelha_ss-ap
